Department,Salary,ActiveProjects,AvgMonthlyHours,YearsAtCompany,WorkAccidents,ReceivedPromotion,LastEvaluation,SatisfactionScore,Attrition
product_management,medium,5,275,4,False,False,0.77,0.09,True
product_management,high,2,149,3,False,False,0.49,0.45,True
product_management,low,7,295,4,False,False,0.87,0.09,True
product_management,medium,6,277,4,False,False,0.97,0.11,True
product_management,medium,7,306,4,False,False,0.79,0.11,True
product_management,medium,6,295,4,False,False,0.83,0.1,True
marketing,medium,2,137,3,False,False,0.54,0.4,True
sales,low,2,157,3,False,False,0.56,0.43,True
accounting,low,2,142,3,False,False,0.56,0.39,True
support,low,2,140,3,False,False,0.54,0.45,True
engineering,low,2,151,3,False,False,0.49,0.38,True
management,low,4,139,3,False,True,0.59,0.79,True
marketing,low,4,249,6,False,False,0.85,0.84,True
marketing,low,6,291,4,False,False,0.77,0.11,True
marketing,low,6,305,4,False,False,0.87,0.11,True
sales,low,5,232,3,False,False,0.84,0.17,True
sales,low,2,132,3,False,False,0.45,0.44,True
sales,low,2,130,3,False,False,0.57,0.37,True
sales,low,6,291,4,False,False,0.79,0.1,True
sales,low,2,130,3,False,False,0.5,0.4,True
sales,low,5,246,5,False,False,1.0,0.89,True
sales,low,2,143,3,False,False,0.48,0.42,True
sales,low,2,129,3,False,False,0.55,0.46,True
sales,low,6,255,4,False,False,0.83,0.09,True
sales,low,2,155,3,False,False,0.51,0.37,True
sales,low,6,265,4,False,False,0.77,0.1,True
sales,low,6,279,4,False,False,0.84,0.1,True
sales,low,6,284,4,False,False,0.97,0.11,True
sales,medium,5,221,6,False,False,1.0,0.9,True
sales,medium,2,154,3,False,False,0.52,0.38,True
sales,medium,2,147,3,False,False,0.52,0.36,True
sales,medium,2,150,3,False,False,0.46,0.42,True
sales,medium,7,267,4,False,False,0.94,0.09,True
sales,medium,2,158,3,False,False,0.52,0.43,True
accounting,medium,7,224,5,False,False,0.46,0.24,True
accounting,medium,4,257,5,False,False,1.0,0.91,True
accounting,medium,2,148,3,False,False,0.5,0.44,True
hr,medium,3,177,4,False,False,0.87,0.71,True
hr,medium,2,155,3,False,False,0.49,0.4,True
hr,medium,2,144,3,False,False,0.47,0.43,True
hr,high,6,289,4,False,False,0.85,0.09,True
engineering,low,2,160,3,False,False,0.52,0.43,True
engineering,medium,4,258,5,False,False,0.96,0.9,True
engineering,medium,5,234,5,False,False,1.0,0.84,True
engineering,medium,2,137,3,False,False,0.48,0.37,True
engineering,medium,5,263,2,False,False,0.68,0.86,True
engineering,low,6,251,4,False,False,0.84,0.11,True
engineering,low,2,133,3,False,False,0.57,0.37,True
engineering,low,2,132,3,False,False,0.46,0.4,True
engineering,low,4,158,4,True,False,0.62,0.14,True
engineering,low,2,135,3,False,False,0.46,0.4,True
engineering,low,4,216,6,False,False,1.0,0.75,True
support,low,6,300,5,True,False,0.84,0.11,True
support,low,2,138,3,False,False,0.49,0.46,True
support,low,6,260,4,False,False,0.92,0.11,True
support,low,2,132,3,False,False,0.49,0.38,True
support,low,3,183,5,False,False,0.89,0.7,True
support,low,6,250,4,False,False,0.82,0.09,True
support,low,2,151,3,False,False,0.45,0.37,True
support,low,6,292,4,False,False,0.83,0.1,True
support,low,2,140,3,False,False,0.57,0.38,True
support,low,5,221,5,False,False,1.0,0.9,True
support,low,2,138,3,False,False,0.51,0.44,True
engineering,low,2,132,3,False,False,0.5,0.36,True
engineering,low,7,133,5,False,False,0.84,0.31,True
engineering,low,6,283,4,True,False,0.84,0.1,True
management,low,2,129,3,False,False,0.48,0.42,True
IT,low,4,249,5,False,False,1.0,0.74,True
IT,low,5,257,5,False,False,0.87,0.73,True
IT,low,6,245,4,False,False,0.96,0.09,True
IT,low,2,155,3,False,False,0.53,0.45,True
IT,low,6,256,4,False,False,0.8,0.11,True
product_management,low,2,152,3,False,False,0.47,0.37,True
product_management,low,4,267,5,False,False,0.99,0.84,True
product_management,low,2,151,3,False,False,0.46,0.41,True
product_management,low,4,239,5,False,False,0.92,0.76,True
IT,low,6,306,4,False,False,0.87,0.11,True
marketing,low,4,263,5,True,False,0.88,0.84,True
marketing,low,2,147,3,False,False,0.5,0.39,True
marketing,low,6,278,4,False,False,0.91,0.11,True
marketing,low,2,154,3,False,False,0.56,0.45,True
marketing,low,2,143,3,False,False,0.52,0.37,True
marketing,low,2,155,3,False,False,0.52,0.4,True
sales,low,2,160,3,False,False,0.48,0.39,True
accounting,low,6,304,4,False,False,0.8,0.11,True
support,low,5,240,5,False,False,1.0,0.83,True
engineering,low,6,305,4,False,False,0.92,0.11,True
management,low,2,136,3,False,False,0.5,0.39,True
marketing,low,2,132,3,False,False,0.45,0.45,True
marketing,low,7,301,4,False,False,0.95,0.1,True
marketing,low,5,243,6,False,False,0.98,0.9,True
sales,low,2,147,3,False,False,0.51,0.45,True
sales,low,5,239,5,False,False,0.89,0.79,True
sales,low,5,260,5,False,False,0.99,0.9,True
sales,low,7,296,4,False,False,0.84,0.11,True
sales,low,2,129,3,False,False,0.55,0.43,True
sales,low,5,132,5,False,False,0.54,0.31,True
sales,low,2,135,5,False,False,0.5,0.32,True
sales,low,2,158,3,False,False,0.57,0.45,True
sales,low,4,259,5,False,False,0.99,0.81,True
sales,low,2,160,3,False,True,0.46,0.41,True
sales,low,7,278,4,False,False,0.78,0.11,True
sales,low,6,284,4,False,False,0.88,0.1,True
sales,low,2,274,4,False,False,0.53,0.7,True
sales,low,4,164,2,False,False,0.74,0.54,True
sales,low,2,148,3,False,False,0.48,0.41,True
sales,medium,2,140,3,False,False,0.5,0.38,True
sales,medium,2,127,3,False,False,0.51,0.37,True
sales,medium,6,308,5,False,False,0.85,0.11,True
sales,medium,2,146,3,False,False,0.47,0.4,True
accounting,medium,6,261,4,False,False,0.84,0.1,True
accounting,medium,5,257,5,False,False,0.99,0.89,True
accounting,medium,6,285,4,False,False,0.8,0.11,True
hr,medium,2,141,3,False,False,0.55,0.36,True
hr,medium,2,127,3,False,False,0.46,0.4,True
hr,medium,6,297,4,False,False,0.85,0.09,True
hr,medium,2,143,3,False,False,0.46,0.4,True
engineering,medium,2,152,3,False,False,0.55,0.37,True
engineering,high,2,156,3,False,False,0.51,0.44,True
engineering,low,7,283,5,False,False,0.8,0.09,True
engineering,medium,4,226,6,True,False,0.87,0.92,True
engineering,medium,4,232,5,False,False,0.91,0.74,True
engineering,medium,6,249,4,False,False,0.82,0.09,True
engineering,medium,4,275,5,False,False,0.95,0.89,True
engineering,low,6,304,4,False,False,0.8,0.09,True
engineering,low,7,278,3,False,False,0.54,0.27,True
engineering,low,6,287,4,False,False,0.91,0.1,True
engineering,low,7,285,4,False,False,0.89,0.1,True
support,low,5,226,6,False,False,0.94,0.77,True
support,low,5,259,5,False,False,0.82,0.9,True
support,low,2,135,3,False,False,0.5,0.39,True
support,low,5,219,5,False,False,1.0,0.76,True
support,low,6,256,4,False,False,0.93,0.1,True
support,low,5,254,6,False,False,0.9,0.87,True
support,low,2,153,3,False,False,0.5,0.38,True
support,low,5,228,5,False,False,0.99,0.77,True
support,low,4,228,5,False,False,0.87,0.78,True
support,low,2,128,3,False,False,0.5,0.44,True
support,low,2,153,3,False,False,0.52,0.38,True
engineering,low,2,156,3,False,False,0.46,0.43,True
engineering,low,4,294,3,False,False,0.5,0.39,True
engineering,low,5,219,5,False,False,1.0,0.88,True
management,low,2,153,3,False,False,0.46,0.45,True
IT,low,2,151,3,False,False,0.53,0.4,True
IT,low,2,155,3,False,False,0.51,0.36,True
IT,low,2,158,3,False,False,0.48,0.36,True
IT,low,5,245,5,False,False,0.98,0.9,True
IT,low,2,131,3,False,False,0.53,0.43,True
product_management,low,5,225,5,False,False,0.87,0.89,True
product_management,low,6,286,4,False,False,0.84,0.1,True
product_management,low,2,135,3,False,False,0.5,0.37,True
product_management,low,2,153,3,False,False,0.51,0.37,True
IT,low,5,252,5,False,False,0.9,0.87,True
accounting,low,2,149,3,False,False,0.56,0.4,True
accounting,low,4,258,5,False,False,0.97,0.9,True
hr,low,2,158,3,False,False,0.46,0.37,True
hr,low,2,149,3,False,False,0.54,0.44,True
hr,low,5,236,5,False,False,0.95,0.85,True
marketing,low,5,239,6,False,False,0.98,0.78,True
marketing,low,2,159,3,False,False,0.47,0.42,True
sales,low,5,255,6,False,False,0.99,0.92,True
accounting,low,6,244,4,False,False,0.83,0.11,True
support,low,2,134,3,False,False,0.56,0.42,True
engineering,low,4,270,4,False,False,0.57,0.48,True
management,low,4,255,5,False,False,0.85,0.83,True
marketing,low,2,151,3,False,False,0.53,0.4,True
marketing,low,2,135,3,False,False,0.45,0.43,True
marketing,low,2,146,3,False,False,0.53,0.43,True
sales,low,7,254,4,False,False,0.97,0.1,True
sales,low,7,289,4,False,False,0.87,0.1,True
sales,low,2,156,3,False,False,0.46,0.37,True
sales,low,2,156,3,False,False,0.53,0.38,True
sales,low,2,128,3,False,False,0.5,0.4,True
sales,low,5,275,5,False,False,0.86,0.89,True
sales,low,2,155,3,False,False,0.46,0.45,True
sales,low,2,159,3,False,False,0.48,0.37,True
sales,low,2,148,3,False,False,0.49,0.46,True
sales,low,4,228,5,False,False,0.91,0.87,True
sales,low,6,298,4,False,False,0.84,0.11,True
sales,low,5,261,5,False,False,0.87,0.79,True
sales,low,5,254,6,False,False,0.92,0.79,True
sales,low,7,192,3,False,False,0.59,0.19,True
sales,low,4,248,5,False,False,0.98,0.87,True
sales,low,2,258,5,False,False,0.92,0.6,True
sales,medium,2,156,3,False,False,0.45,0.44,True
sales,medium,6,266,4,True,False,0.81,0.11,True
sales,medium,2,156,3,False,False,0.54,0.42,True
accounting,medium,5,232,5,True,False,0.88,0.88,True
accounting,medium,6,287,4,False,False,0.84,0.11,True
accounting,medium,2,154,3,False,False,0.46,0.46,True
hr,medium,5,263,5,False,False,0.97,0.82,True
hr,medium,2,131,3,False,False,0.56,0.44,True
hr,medium,6,260,4,False,False,0.78,0.11,True
hr,medium,2,139,3,False,False,0.5,0.42,True
engineering,medium,4,251,5,False,False,0.93,0.84,True
engineering,medium,6,286,4,False,False,0.95,0.11,True
engineering,high,2,129,3,False,False,0.53,0.45,True
engineering,low,2,156,3,False,False,0.56,0.38,True
engineering,medium,6,139,6,False,False,0.86,0.38,True
engineering,medium,2,127,3,False,False,0.51,0.44,True
engineering,medium,6,251,4,False,False,0.84,0.11,True
engineering,medium,5,270,5,False,False,0.93,0.81,True
engineering,low,6,296,4,False,False,0.96,0.09,True
engineering,low,6,254,4,False,False,0.9,0.11,True
engineering,low,5,238,6,False,False,0.95,0.81,True
support,low,6,267,4,True,False,0.97,0.1,True
support,low,5,229,6,False,False,0.89,0.74,True
support,low,6,254,4,False,False,0.78,0.09,True
support,low,4,233,4,True,False,0.81,0.82,True
support,low,6,268,4,False,False,0.98,0.1,True
support,low,3,301,3,False,False,0.56,0.27,True
support,low,5,267,6,False,False,0.92,0.83,True
support,low,6,289,4,True,False,0.93,0.1,True
support,low,2,144,3,False,False,0.47,0.38,True
support,low,2,148,3,False,False,0.56,0.4,True
support,low,6,306,4,False,False,0.83,0.11,True
engineering,low,6,292,4,False,True,0.79,0.11,True
engineering,low,5,232,5,False,False,0.91,0.82,True
engineering,low,2,137,3,False,False,0.48,0.36,True
management,low,2,128,3,False,False,0.46,0.4,True
IT,low,5,231,5,False,False,0.84,0.87,True
IT,low,2,146,3,False,False,0.49,0.41,True
IT,low,6,308,4,True,False,0.91,0.11,True
IT,medium,6,253,4,False,False,0.93,0.1,True
IT,medium,2,146,3,False,False,0.51,0.38,True
product_management,medium,2,156,3,False,False,0.55,0.39,True
product_management,medium,2,147,3,False,False,0.52,0.4,True
product_management,medium,2,136,3,False,False,0.48,0.45,True
product_management,medium,5,249,5,False,False,0.84,0.74,True
IT,medium,2,151,3,False,False,0.55,0.45,True
r&d,medium,3,278,4,False,False,1.0,0.12,True
r&d,medium,7,250,5,False,False,0.77,0.1,True
r&d,medium,2,127,3,False,False,0.55,0.37,True
r&d,medium,5,255,5,False,False,0.87,0.89,True
r&d,medium,2,135,3,False,False,0.47,0.45,True
marketing,high,2,149,3,False,False,0.46,0.37,True
sales,low,5,287,4,False,False,0.81,0.11,True
accounting,medium,2,145,3,False,False,0.48,0.41,True
support,medium,6,285,4,False,False,0.94,0.1,True
engineering,medium,7,305,4,False,False,0.93,0.1,True
management,medium,7,300,4,False,False,0.95,0.11,True
marketing,low,2,139,3,False,False,0.54,0.4,True
marketing,low,2,130,3,False,False,0.49,0.41,True
marketing,low,6,268,4,False,False,0.81,0.1,True
sales,low,4,245,6,False,False,0.86,0.73,True
sales,low,2,135,3,False,False,0.47,0.43,True
sales,low,2,153,3,False,False,0.46,0.37,True
sales,low,6,276,4,False,False,0.94,0.11,True
sales,low,2,130,3,False,False,0.46,0.4,True
sales,low,2,153,3,True,False,0.54,0.41,True
sales,low,5,244,5,False,False,0.84,0.82,True
sales,low,2,253,3,False,False,0.47,0.61,True
sales,low,7,287,4,False,False,0.91,0.11,True
sales,low,2,131,3,False,False,0.45,0.37,True
sales,low,2,135,3,False,False,0.52,0.41,True
sales,low,2,157,3,False,False,0.52,0.37,True
sales,low,5,262,6,False,False,0.99,0.88,True
sales,low,6,266,4,False,False,0.85,0.1,True
sales,low,2,148,3,False,False,0.48,0.44,True
sales,low,2,140,3,False,False,0.57,0.38,True
sales,low,7,302,4,False,False,0.85,0.11,True
sales,low,6,271,4,False,False,0.98,0.09,True
sales,medium,2,145,3,False,False,0.52,0.45,True
accounting,medium,6,290,4,False,False,0.81,0.1,True
accounting,medium,2,151,3,False,False,0.47,0.45,True
accounting,medium,5,266,5,False,False,0.87,0.77,True
hr,medium,2,140,3,False,False,0.51,0.44,True
hr,medium,2,142,3,False,False,0.5,0.39,True
hr,medium,6,246,4,False,False,0.91,0.1,True
hr,medium,7,308,5,False,False,0.89,0.09,True
engineering,medium,2,141,3,False,False,0.47,0.37,True
engineering,medium,5,232,5,False,False,1.0,0.9,True
engineering,medium,2,143,3,False,False,0.56,0.41,True
engineering,medium,2,155,3,False,False,0.52,0.37,True
engineering,high,6,278,4,False,False,0.86,0.1,True
engineering,low,4,253,5,False,False,1.0,0.81,True
engineering,medium,6,282,4,False,False,0.8,0.11,True
engineering,medium,7,264,4,False,False,0.84,0.11,True
engineering,medium,2,149,3,False,False,0.46,0.4,True
engineering,medium,6,304,5,False,False,0.8,0.09,True
engineering,low,3,219,6,False,False,0.93,0.48,True
support,low,4,262,6,False,False,0.91,0.91,True
support,low,2,135,3,False,False,0.57,0.43,True
support,low,6,219,5,False,False,0.88,0.33,True
support,low,2,136,3,False,False,0.57,0.41,True
support,low,2,154,3,False,False,0.55,0.41,True
support,low,2,149,3,False,False,0.54,0.37,True
support,low,6,135,5,False,False,0.62,0.31,True
support,low,6,275,4,False,False,0.91,0.09,True
support,low,6,290,4,False,False,0.87,0.1,True
support,low,4,263,5,False,False,0.9,0.76,True
support,low,2,145,3,False,False,0.54,0.41,True
engineering,low,5,267,5,False,False,0.96,0.72,True
engineering,low,2,141,3,True,False,0.5,0.4,True
engineering,low,4,235,5,False,False,0.87,0.91,True
management,low,6,258,4,False,False,0.83,0.1,True
IT,low,2,131,3,False,False,0.56,0.4,True
IT,low,5,243,5,False,False,0.86,0.82,True
IT,low,6,266,4,False,False,0.82,0.1,True
IT,low,2,142,3,False,False,0.45,0.37,True
IT,low,2,135,3,False,False,0.51,0.36,True
product_management,medium,2,141,3,False,False,0.48,0.39,True
product_management,medium,2,142,3,False,False,0.57,0.36,True
product_management,medium,5,254,5,False,False,0.84,0.86,True
product_management,medium,5,262,5,False,False,0.99,0.73,True
IT,medium,4,296,2,False,False,0.71,0.56,True
accounting,medium,2,158,3,False,False,0.56,0.44,True
accounting,medium,4,238,2,False,False,0.56,0.31,True
hr,medium,4,231,5,False,False,0.93,0.77,True
hr,medium,2,156,3,False,False,0.45,0.44,True
hr,medium,2,145,3,False,False,0.46,0.38,True
marketing,medium,2,144,3,False,False,0.48,0.45,True
sales,medium,2,159,3,False,False,0.51,0.38,True
accounting,high,2,156,3,False,False,0.48,0.36,True
support,low,5,256,5,False,False,0.9,0.75,True
engineering,medium,6,298,4,False,False,0.93,0.1,True
management,medium,6,247,4,False,False,0.97,0.1,True
marketing,medium,2,157,3,False,False,0.5,0.45,True
marketing,medium,2,154,3,True,False,0.57,0.42,True
marketing,low,4,253,5,False,False,1.0,0.78,True
sales,low,2,148,3,False,False,0.55,0.45,True
sales,low,4,261,5,False,False,1.0,0.84,True
sales,low,6,282,4,False,False,0.93,0.11,True
sales,low,2,133,3,False,False,0.56,0.42,True
sales,low,2,128,3,False,False,0.46,0.45,True
sales,low,2,139,3,False,False,0.57,0.46,True
sales,low,6,293,5,False,False,0.79,0.09,True
sales,low,4,265,6,False,False,0.83,0.87,True
sales,low,6,250,4,False,False,0.87,0.1,True
sales,low,5,251,6,False,False,1.0,0.91,True
sales,low,4,246,5,False,False,0.92,0.76,True
sales,low,5,275,5,False,False,1.0,0.74,True
sales,low,5,240,5,False,False,0.93,0.92,True
sales,low,5,245,5,False,False,0.87,0.76,True
sales,low,4,254,4,False,False,0.5,0.47,True
sales,low,5,241,5,False,False,0.99,0.73,True
sales,low,6,257,4,False,False,0.94,0.09,True
sales,low,4,246,5,False,False,0.92,0.91,True
sales,low,4,233,5,False,False,0.98,0.82,True
accounting,low,6,218,4,False,False,0.45,0.28,True
accounting,medium,4,262,6,False,False,0.99,0.84,True
accounting,medium,2,138,3,False,False,0.53,0.45,True
hr,medium,2,142,3,False,False,0.54,0.45,True
hr,medium,5,233,5,False,False,0.97,0.91,True
hr,medium,2,155,3,False,False,0.48,0.42,True
hr,medium,4,229,6,False,False,1.0,0.82,True
engineering,medium,6,264,4,False,False,0.9,0.11,True
engineering,medium,3,199,4,False,False,0.53,0.42,True
engineering,medium,4,223,5,False,False,0.85,0.82,True
engineering,medium,6,268,4,False,False,0.96,0.09,True
engineering,medium,6,287,4,False,False,0.94,0.1,True
engineering,medium,5,257,5,False,False,1.0,0.86,True
engineering,high,2,143,3,False,False,0.46,0.4,True
engineering,low,2,130,3,False,False,0.46,0.45,True
engineering,medium,2,136,3,False,False,0.51,0.42,True
engineering,medium,4,261,5,False,False,0.92,0.74,True
engineering,medium,3,180,4,False,False,0.6,0.55,True
support,medium,2,126,3,False,False,0.45,0.37,True
support,low,2,127,3,True,False,0.52,0.41,True
support,low,5,195,6,False,False,0.65,0.89,True
support,low,2,160,3,False,False,0.57,0.41,True
support,low,2,150,3,False,False,0.51,0.44,True
support,low,4,264,6,False,False,0.84,0.87,True
support,low,6,309,4,False,False,0.84,0.1,True
support,low,2,135,3,False,False,0.47,0.41,True
support,low,6,261,4,False,False,0.85,0.11,True
support,low,2,160,3,False,False,0.53,0.43,True
support,low,4,237,5,False,False,0.9,0.77,True
engineering,low,2,136,3,False,False,0.52,0.41,True
engineering,low,2,139,3,False,False,0.48,0.41,True
engineering,low,2,151,4,False,False,0.78,0.36,True
management,low,5,229,5,False,False,1.0,0.77,True
IT,low,5,245,5,False,False,0.98,0.81,True
IT,low,2,127,3,False,False,0.54,0.39,True
IT,low,6,283,5,False,False,0.94,0.09,True
IT,low,2,143,3,False,False,0.46,0.44,True
IT,low,5,298,4,False,False,0.84,0.1,True
product_management,low,2,159,3,False,False,0.48,0.36,True
product_management,low,5,239,5,False,False,0.92,0.81,True
product_management,medium,4,226,5,False,False,0.9,0.81,True
product_management,medium,5,248,5,False,False,0.98,0.85,True
IT,medium,6,286,4,False,False,0.87,0.1,True
r&d,medium,2,145,3,False,False,0.54,0.37,True
r&d,medium,7,254,4,True,False,0.97,0.09,True
r&d,medium,2,127,3,False,False,0.53,0.44,True
r&d,medium,5,223,5,False,False,0.93,0.86,True
r&d,medium,4,255,5,False,False,1.0,0.77,True
marketing,medium,2,136,3,False,False,0.48,0.41,True
sales,medium,2,137,3,False,False,0.48,0.4,True
accounting,medium,2,135,3,False,False,0.49,0.43,True
support,medium,2,137,3,False,False,0.5,0.43,True
engineering,high,3,255,5,False,False,0.53,0.8,True
management,low,4,273,5,False,False,0.85,0.8,True
marketing,medium,5,234,5,False,False,0.98,0.82,True
marketing,medium,2,152,3,False,False,0.54,0.37,True
marketing,medium,2,134,3,False,False,0.48,0.37,True
sales,medium,6,292,4,False,False,0.95,0.09,True
sales,low,5,245,5,False,False,0.92,0.9,True
sales,low,2,159,3,False,False,0.52,0.41,True
sales,low,6,260,4,False,False,0.85,0.1,True
sales,low,2,149,3,False,False,0.53,0.44,True
sales,low,5,266,5,False,False,0.85,0.89,True
sales,low,2,149,3,False,False,0.56,0.42,True
sales,low,5,242,5,False,False,1.0,0.87,True
sales,low,2,134,3,False,False,0.57,0.45,True
sales,low,5,271,4,False,False,0.87,0.11,True
sales,low,6,275,4,False,False,0.79,0.09,True
sales,low,5,227,5,False,False,0.83,0.76,True
sales,low,7,277,5,False,False,0.96,0.11,True
sales,low,2,151,3,False,False,0.49,0.37,True
sales,low,6,274,4,False,False,0.79,0.1,True
sales,low,4,242,6,False,False,0.87,0.77,True
sales,low,2,143,3,True,False,0.54,0.42,True
sales,low,2,145,3,False,False,0.52,0.38,True
sales,low,5,172,2,False,False,0.95,0.32,True
accounting,low,2,135,3,False,False,0.49,0.38,True
accounting,low,4,192,4,False,False,1.0,0.19,True
accounting,low,7,276,4,False,False,0.83,0.1,True
hr,medium,4,206,4,False,False,0.88,0.76,True
hr,medium,4,281,6,False,False,0.56,0.53,True
hr,medium,2,151,3,False,False,0.51,0.39,True
hr,medium,6,244,4,False,False,0.83,0.11,True
engineering,medium,6,309,4,False,False,0.94,0.1,True
engineering,medium,5,218,5,False,False,1.0,0.84,True
engineering,medium,4,263,6,False,False,0.99,0.82,True
engineering,medium,6,244,4,False,False,0.82,0.1,True
engineering,medium,7,263,4,False,False,0.49,0.59,True
engineering,medium,2,143,3,False,False,0.48,0.44,True
engineering,medium,2,181,5,False,False,0.95,0.89,True
engineering,medium,5,265,5,False,False,0.84,0.91,True
engineering,high,5,161,5,False,False,0.57,0.66,True
engineering,low,7,282,5,False,False,0.87,0.11,True
engineering,medium,2,155,3,False,False,0.51,0.43,True
support,medium,4,217,6,False,False,0.83,0.78,True
support,medium,6,289,5,False,False,0.97,0.11,True
support,medium,4,259,5,False,False,0.98,0.83,True
support,low,2,158,3,False,False,0.54,0.39,True
support,low,2,158,3,False,False,0.55,0.38,True
support,low,2,155,3,False,False,0.57,0.37,True
support,low,2,146,3,False,False,0.48,0.44,True
support,low,2,164,5,False,False,0.85,0.53,True
support,low,6,259,4,False,False,0.96,0.09,True
support,low,6,293,4,False,False,0.89,0.11,True
support,low,5,275,5,False,False,0.96,0.83,True
engineering,low,5,219,6,True,False,1.0,0.88,True
engineering,low,6,247,4,False,False,0.89,0.1,True
engineering,low,7,309,4,False,False,0.86,0.09,True
management,low,2,151,3,False,False,0.54,0.44,True
IT,low,2,129,3,False,False,0.51,0.39,True
IT,low,4,274,5,False,False,0.94,0.87,True
IT,low,4,233,5,False,False,0.99,0.74,True
IT,low,7,289,4,False,False,0.95,0.1,True
IT,low,4,239,6,False,False,0.82,0.74,True
product_management,low,5,221,5,False,False,0.99,0.75,True
product_management,low,2,150,3,False,False,0.56,0.41,True
product_management,low,2,144,3,True,False,0.45,0.41,True
product_management,low,7,289,4,False,False,0.9,0.09,True
IT,medium,6,301,5,False,False,0.8,0.09,True
accounting,medium,2,145,3,False,False,0.57,0.39,True
accounting,medium,2,137,3,False,False,0.56,0.4,True
hr,medium,2,131,3,True,False,0.54,0.37,True
hr,medium,6,246,4,False,False,0.84,0.1,True
hr,medium,2,136,3,False,False,0.51,0.43,True
marketing,medium,5,240,6,True,False,0.85,0.75,True
sales,medium,2,156,3,False,False,0.56,0.37,True
accounting,medium,6,305,4,False,False,0.85,0.11,True
support,medium,2,154,3,True,False,0.45,0.45,True
engineering,medium,5,261,5,True,False,1.0,0.87,True
management,medium,7,244,4,False,False,0.94,0.11,True
marketing,high,2,129,3,False,False,0.54,0.45,True
marketing,low,4,254,5,False,False,0.87,0.81,True
